parameters,count,mean,std,min,25%,50%,75%,max
theta.66,4000.0,0.0034799474230824334,0.4714139837558247,-1.8928196707969767,-0.30944817996166174,0.004235361808978865,0.3215109989097742,1.8641419533215329
theta.67,4000.0,-1.737592124123903,0.4168134969506041,-3.456510881493033,-2.0131892672090905,-1.7310249765518164,-1.4557147654578595,0.08189641565329445
theta.68,4000.0,1.6594139383939406,0.48468186931300766,-0.11882666072241324,1.3225287559619534,1.6731195701404895,1.9894660162850248,3.4424006570136196
theta.69,4000.0,0.7762931249876621,0.4682566127925857,-0.8570115871621681,0.46685603181248464,0.7657123911905352,1.0805534951329037,2.6786420047626978
theta.70,4000.0,1.886758695506157,0.4935013569699944,-0.000305155768782997,1.5554224680382742,1.8964098356576755,2.229042461863607,3.6189796415562103
theta.71,4000.0,0.7978949112300932,0.49984756410989173,-0.8452432189966842,0.4681142583844299,0.7896762327413354,1.1200958502813536,2.683005693303684
theta.72,4000.0,-0.6050494605543911,0.4312622645252285,-2.146730347941587,-0.8997217088311742,-0.616907003669369,-0.325143382425315,0.9557990096150637
theta.73,4000.0,0.3422319052779509,0.4566546882866676,-1.3599973674763384,0.040333621861547514,0.3492931188862013,0.6348685772671473,1.9200751420359776
theta.74,4000.0,-0.7552236117167742,0.42797155871387715,-2.2716518203872527,-1.0465499505344829,-0.7600666560867371,-0.46529682044208204,0.8553192465538226
theta.75,4000.0,-0.7912282096477526,0.4496816497619524,-2.957558126233483,-1.0903930225189413,-0.7932063524325685,-0.493299729504316,1.285966843379964
theta.76,4000.0,0.06597922473297047,0.47278346902899215,-2.002278234097341,-0.2557507089137734,0.05959550727934096,0.38204880140130226,1.9743111139218832
theta.77,4000.0,-0.40069564800432134,0.4189030278292538,-1.7937054068112133,-0.6799963816928776,-0.41087325006319686,-0.12278492872235763,1.1880907851139557
theta.78,4000.0,0.11965640647775375,0.4228617592160075,-1.3679493795206485,-0.16808296788665839,0.12519567863009531,0.3900147413319364,1.6115770651750911
theta.79,4000.0,-0.24060137520463104,0.4350380189699708,-1.7135178959862245,-0.5354350166127062,-0.24305433650384123,0.04640638341767482,1.3373408471788661
theta.80,4000.0,-0.5455488001606202,0.41904219331567605,-1.8937063425548115,-0.8388606894438735,-0.5521600450687162,-0.26890338390474555,0.8531149087745598
theta.81,4000.0,0.07331446275848515,0.4760447212145112,-1.6062711790586173,-0.25486436856673467,0.0715079544120237,0.39791773546142317,1.8641405185620161
theta.82,4000.0,-0.178271212787542,0.44698338923189906,-1.9219501353347292,-0.4703997953145204,-0.18055599329134736,0.11228741548056352,1.4404592262974916
theta.83,4000.0,0.6267906671356095,0.43404295467524884,-0.9463074291242648,0.32865974789481434,0.6280642888590952,0.9070835601462232,2.1736116466986912
theta.84,4000.0,-1.1653527650513678,0.393752913393546,-2.5434140348939183,-1.433581239533055,-1.1721705889165939,-0.9086652725299509,0.4822630106336995
theta.85,4000.0,0.5656077826288768,0.45948604462055476,-0.966743816545673,0.24939822460354297,0.5596114475421505,0.8651708811690401,2.344240517287404
theta.86,4000.0,0.6747726812344659,0.4978412499780652,-1.0715483627684959,0.332898583950873,0.6550262292087665,1.005950538315035,2.5980565877464743
theta.87,4000.0,0.6643848026806577,0.48019001311977333,-0.9273642443276485,0.3355973863352026,0.6569574316976209,0.9846450059583807,2.617551020075288
theta.88,4000.0,-0.3646836595374369,0.4808616790275001,-2.0465066523125683,-0.7030285573951807,-0.3728527459290799,-0.036829857456478925,1.5424988799137245
theta.89,4000.0,0.08905804244462684,0.4786373616038335,-1.7166492151896329,-0.23467653804824212,0.0657428762085161,0.4058866110480086,2.54265596862498
theta.90,4000.0,0.5492059741169154,0.46815264418253705,-1.1942532512119672,0.23092776529821155,0.5439499782269286,0.8594729434495759,2.267384553596464
theta.91,4000.0,0.12250859958170963,0.44091632519939084,-1.5433341512515026,-0.16868246376240922,0.11879738108873,0.41267945061943334,1.6947699159725111
theta.92,4000.0,0.9857094295350771,0.4567688413033497,-0.5796978829445526,0.664624235193352,0.9756814612872656,1.2961417453542168,2.5736120192960428
theta.93,4000.0,0.4651402902168844,0.4694797345228704,-1.5212789195420366,0.1449633242139489,0.4562154212184414,0.7733802735016837,2.7091484214784765
theta.94,4000.0,0.13628825671336312,0.46962464564185974,-1.5913815576578512,-0.18123974007981397,0.1369278328641637,0.4501170382720525,2.192418501033691
theta.95,4000.0,1.384682901522471,0.4769472739562414,-0.2765630140872253,1.0609812168029245,1.3824808082604934,1.7027354202642735,3.11980071174918
theta.96,4000.0,0.5192772281331132,0.48485392269305844,-1.0321883163054737,0.18629499656944554,0.5105973275345199,0.8376138355569676,2.2005818773286525
